timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1753722000,Jul 28 2025 - 5:00pm,complete,N/A,Midtjylland,SønderjyskE,N/A,2,1.00,0.00,2.33,1.33,6,2,8,4,3,1,"27,35,17,65,75,79","9,85",5,3,0,0,1,0,0,0,0,1,22,20,9,7,13,13,6,14,55,45,2.01,0.00,2.30,2.10,3.00,50,50,50,50,50,50,50,50,50,6.00,2.00,1.52,4.60,5.40,1.12,1.43,1.95,3.08,1.44,2.50,MCH Arena
1754064000,Aug 01 2025 - 4:00pm,complete,N/A,Fredericia,København,N/A,3,0.00,3.00,0.78,1.67,0,2,2,1,0,1,"","34,69",5,8,0,0,0,0,0,0,0,0,9,17,3,6,6,11,5,10,39,61,0.96,2.41,0.96,2.03,5.00,100,100,100,100,100,100,100,50,100,10.00,4.00,6.55,4.64,1.47,1.20,1.65,2.63,4.40,1.75,2.06,Monjasa Park
1754071200,Aug 01 2025 - 6:00pm,complete,N/A,Vejle,OB,N/A,3,1.00,1.00,1.22,1.33,4,0,4,2,2,0,"57,62,15,23","",4,2,1,0,1,0,0,1,0,1,9,4,4,0,5,4,13,8,40,60,1.52,1.17,1.22,0.55,4.00,100,100,50,50,50,50,50,100,100,12.00,3.00,2.70,3.55,2.45,1.17,1.67,2.63,4.80,1.57,2.36,Vejle Stadion
1754222400,Aug 03 2025 - 12:00pm,complete,N/A,SønderjyskE,Nordsjælland,N/A,3,1.00,3.00,1.89,1.00,3,2,5,2,1,1,"10,69,90'4","37,90'9",1,6,2,0,1,0,2,0,0,1,5,17,4,7,1,10,11,14,32,68,1.27,1.69,0.80,2.04,3.50,100,100,50,50,50,50,100,0,100,6.00,1.00,3.31,3.93,1.95,1.22,1.53,2.25,3.80,1.50,2.50,Sydbank Park
1754222400,Aug 03 2025 - 12:00pm,complete,N/A,Randers,Silkeborg,N/A,3,0.00,0.00,1.22,0.89,1,0,1,1,1,0,"20","",4,5,1,0,1,0,1,0,1,0,10,18,5,4,5,14,5,6,47,53,0.00,0.91,1.23,1.77,1.50,0,50,50,0,0,0,50,50,50,2.00,0.00,1.94,3.87,3.68,1.20,1.67,2.65,5.00,1.59,2.29,N/A
1754229600,Aug 03 2025 - 2:00pm,complete,N/A,AGF,Midtjylland,N/A,3,0.00,0.00,2.11,1.67,0,0,0,0,0,0,"","",9,0,1,0,2,1,0,1,1,2,22,6,2,1,20,5,14,6,74,26,1.58,0.00,2.19,0.61,1.50,50,50,50,0,0,0,50,50,50,3.00,2.00,2.64,3.25,2.31,1.18,1.70,2.41,4.15,1.48,2.60,N/A
1754236800,Aug 03 2025 - 4:00pm,complete,N/A,Brøndby,Viborg,N/A,3,3.00,0.00,1.78,1.22,0,2,2,1,0,1,"","44,52",4,1,1,0,3,0,1,0,2,1,21,11,5,4,16,7,10,15,58,42,1.49,1.62,2.36,1.28,3.50,50,100,100,50,0,0,100,100,100,6.00,1.00,1.65,3.80,4.20,1.15,1.54,2.31,4.50,1.56,2.38,Brøndby Stadion
1754668800,Aug 08 2025 - 4:00pm,complete,N/A,København,AGF,N/A,4,3.00,1.00,1.44,2.33,2,3,5,1,0,1,"76,84","10,74,52",4,7,2,0,4,0,0,2,0,4,19,11,8,3,11,8,10,5,61,39,1.53,1.14,2.12,1.22,2.00,50,100,0,0,0,50,100,0,50,6.00,2.00,1.67,3.90,5.01,1.25,1.79,2.88,5.50,1.75,2.15,Parken
1754676000,Aug 08 2025 - 6:00pm,complete,N/A,Viborg,SønderjyskE,N/A,4,0.00,0.00,1.44,1.33,1,0,1,1,1,0,"33","",0,3,1,0,2,0,0,1,0,2,8,13,2,1,6,12,10,15,42,58,1.09,2.10,0.94,1.42,6.50,100,100,100,100,100,100,100,100,100,9.00,2.00,2.00,3.55,3.40,1.22,1.73,2.83,4.70,1.62,2.20,Energi Viborg Arena
1754827200,Aug 10 2025 - 12:00pm,complete,N/A,Midtjylland,Fredericia,N/A,4,2.00,3.00,2.33,0.78,3,3,6,3,2,1,"5,42,64","19,72,85",6,3,2,0,0,0,1,1,0,0,16,18,7,5,9,13,8,11,54,46,2.15,0.95,1.89,1.90,4.50,50,100,50,50,50,100,100,50,50,6.50,2.00,1.43,5.25,6.25,1.10,1.40,2.00,3.16,1.63,2.20,MCH Arena
1754834400,Aug 10 2025 - 2:00pm,complete,N/A,Silkeborg,Nordsjælland,N/A,4,0.00,1.50,1.22,1.00,4,2,6,3,2,1,"90'1,80,12,15","64,45'5",5,4,1,0,4,0,0,1,2,2,17,15,7,6,10,9,2,18,45,55,1.89,1.86,1.77,1.81,3.50,50,100,50,50,50,100,100,25,50,14.00,1.00,2.81,3.41,2.12,1.16,1.57,2.35,4.33,1.48,2.38,JYSK park
1754841600,Aug 10 2025 - 4:00pm,complete,N/A,Brøndby,Vejle,N/A,4,1.50,0.00,1.78,0.22,2,1,3,3,2,1,"8,22","29",3,5,3,0,2,0,1,2,0,2,15,5,7,3,8,2,7,19,57,43,1.92,0.93,1.80,0.78,2.25,0,100,25,0,0,50,100,25,50,11.00,3.50,1.62,4.20,4.60,1.15,1.60,2.55,4.87,1.70,2.25,Brøndby Stadion
